配分,方法,年率リターン,年率リスク,シャープ,最大下落,売買回数/年
WORLD80JP20,none,0.15456770859087987,0.16454715400331937,0.9462998452307367,-0.2398774393364571,0.0
WORLD80JP20,annual,0.154413858090936,0.1629050451311897,0.9533638189269459,-0.239293668573765,0.9622641509433961
WORLD80JP20,quarterly,0.1541792627559393,0.16283746843115024,0.9524292116067463,-0.23715137766443417,4.018867924528301
WORLD80JP20,monthly,0.15431223268303018,0.16276976517135136,0.9534727606392063,-0.23730192305389852,12.0
WORLD80JP20,band,0.1539537408473497,0.1634261543380485,0.948379360839203,-0.23572785999933732,0.056603773584905655
WORLD50JP50,none,0.14486443681682126,0.15759360610141793,0.9267726701303677,-0.23802046797833465,0.0
WORLD50JP50,annual,0.1444157922379341,0.15668685435215327,0.9286576413818693,-0.23760911856212774,0.9622641509433961
WORLD50JP50,quarterly,0.14404005944450238,0.15657404527067695,0.927109022207011,-0.23426676515469613,4.018867924528301
WORLD50JP50,monthly,0.1442350813457809,0.15648044016050225,0.9286678552044163,-0.23448886140202307,12.0
WORLD50JP50,band,0.14360300138092685,0.1566580833279494,0.9242360246289163,-0.23084542632845628,0.16981132075471697
