配分,方法,年率リターン,年率リスク,シャープ,最大下落,売買回数/年
US50JP50,none,0.06511511517410806,0.16937886233937852,0.45208071254407767,-0.7152096831910651,0.0
US50JP50,annual,0.0717370123744887,0.15977307237714103,0.5083597920465661,-0.5965669500959259,0.9880239520958084
US50JP50,quarterly,0.06969514754996076,0.16033008304921104,0.4952360285469917,-0.595963752846228,4.005988023952096
US50JP50,monthly,0.07013325881161281,0.16044524558786827,0.49756666735018834,-0.5965785517705113,12.0
US50JP50,band,0.07079839998723547,0.16040355175864035,0.5015558291126259,-0.5985541145535809,0.7365269461077845
US80JP20,none,0.06576013525743707,0.16204560840213797,0.4688384474415429,-0.6041377577287556,0.0
US80JP20,annual,0.07002081444767905,0.16857128729632245,0.480980225754468,-0.6063500877414985,0.9880239520958084
US80JP20,quarterly,0.06869045347161928,0.16906009185221002,0.472719762587533,-0.605977635786752,4.005988023952096
US80JP20,monthly,0.06897160990446327,0.16912515983861645,0.4741652912798517,-0.6062892187322453,12.0
US80JP20,band,0.06958621358499228,0.1689667723317319,0.47782559274396647,-0.6076806817703418,0.3413173652694611
